user_id;age
1;
2;18.0
3;
4;17.0
5;
6;61.0
7;
8;
9;
10;26.0
11;14.0
12;
13;26.0
14;
15;
16;
17;
18;25.0
19;14.0
20;19.0
21;46.0
22;
23;
24;19.0
25;55.0
26;
27;32.0
28;24.0
29;19.0
30;24.0
31;20.0
32;
33;34.0
34;
35;17.0
36;24.0
37;23.0
38;34.0
39;
40;32.0
41;14.0
42;17.0
43;
44;51.0
45;
46;31.0
47;21.0
48;
49;
50;17.0
51;34.0
52;
53;
54;44.0
55;
56;24.0
57;
58;
59;23.0
60;
61;30.0
62;
63;57.0
64;32.0
65;
66;30.0
67;43.0
68;
69;
70;44.0
71;24.0
72;34.0
73;
74;30.0
75;37.0
76;
77;
78;18.0
79;20.0
80;
81;
82;
83;
84;
85;41.0
86;
87;
88;
89;54.0
90;42.0
91;
92;20.0
93;50.0
94;39.0
95;
96;
97;
98;19.0
99;42.0
100;44.0
101;26.0
102;
103;53.0
104;47.0
105;36.0
106;
107;
108;
109;20.0
110;
111;25.0
112;32.0
113;
114;57.0
115;
116;
117;57.0
118;28.0
119;35.0
120;13.0
121;
122;
123;24.0
124;58.0
125;49.0
126;24.0
127;28.0
128;
129;47.0
130;
131;
132;38.0
133;45.0
134;
135;
136;
137;
138;28.0
139;35.0
140;24.0
141;
142;
143;26.0
144;62.0
145;
146;
147;
148;63.0
149;
150;25.0
151;
152;26.0
153;24.0
154;
155;
156;20.0
157;36.0
158;38.0
159;
160;20.0
161;27.0
162;
163;
164;33.0
165;62.0
166;20.0
167;
168;44.0
169;
170;
171;29.0
172;66.0
173;
174;31.0
175;
176;34.0
177;46.0
178;28.0
179;
180;
181;
182;36.0
183;27.0
184;
185;17.0
186;
187;29.0
188;17.0
189;31.0
190;33.0
191;40.0
192;
193;23.0
194;
195;23.0
196;33.0
197;
198;21.0
199;38.0
200;27.0
201;
202;28.0
203;
204;15.0
205;23.0
206;60.0
207;
208;
209;21.0
210;54.0
211;21.0
212;21.0
213;
214;27.0
215;20.0
216;42.0
217;
218;41.0
219;
220;
221;79.0
222;
223;
224;
225;
226;
227;
228;41.0
229;22.0
230;
231;
232;16.0
233;
234;25.0
235;22.0
236;
237;27.0
238;23.0
239;
240;20.0
241;
242;37.0
243;
244;
245;31.0
246;16.0
247;23.0
248;15.0
249;29.0
250;25.0
251;54.0
252;65.0
253;28.0
254;24.0
255;32.0
256;
257;
258;
259;45.0
260;51.0
261;45.0
262;28.0
263;
264;23.0
265;24.0
266;
267;29.0
268;
269;
270;
271;22.0
272;20.0
273;
274;26.0
275;
276;
277;15.0
278;21.0
279;
280;
281;31.0
282;
283;
284;35.0
285;
286;17.0
287;
288;19.0
289;15.0
290;
291;
292;22.0
293;25.0
294;
295;28.0
296;21.0
297;27.0
298;
299;42.0
300;
301;32.0
302;53.0
303;
304;24.0
305;
306;
307;27.0
308;53.0
309;30.0
310;26.0
311;34.0
312;
313;
314;28.0
315;
316;23.0
317;41.0
318;
319;32.0
320;37.0
321;24.0
322;
323;23.0
324;
325;
326;
327;
328;33.0
329;21.0
330;
331;60.0
332;59.0
333;23.0
334;27.0
335;27.0
336;27.0
337;17.0
338;
339;20.0
340;15.0
341;50.0
342;28.0
343;
344;25.0
345;27.0
346;29.0
347;34.0
348;
349;
350;
351;
352;28.0
353;41.0
354;
355;
356;
357;29.0
358;
359;
360;33.0
361;25.0
362;63.0
363;
364;
365;
366;
367;45.0
368;35.0
369;
370;
371;
372;22.0
373;
374;45.0
375;28.0
376;35.0
377;
378;57.0
379;47.0
380;
381;
382;
383;
384;23.0
385;
386;20.0
387;17.0
388;35.0
389;22.0
390;48.0
391;
392;44.0
393;24.0
394;25.0
395;24.0
396;
397;50.0
398;
399;41.0
400;
401;28.0
402;19.0
403;
404;37.0
405;
406;37.0
407;
408;17.0
409;50.0
410;40.0
411;27.0
412;
413;17.0
414;34.0
415;
416;31.0
417;
418;
419;14.0
420;14.0
421;47.0
422;23.0
423;
424;29.0
425;32.0
426;
427;
428;
429;25.0
430;
431;40.0
432;
433;48.0
434;
435;
436;53.0
437;
438;34.0
439;
440;16.0
441;
442;24.0
443;47.0
444;40.0
445;
446;
447;
448;22.0
449;
450;31.0
451;33.0
452;
453;
454;50.0
455;54.0
456;31.0
457;62.0
458;17.0
459;37.0
460;
461;15.0
462;18.0
463;20.0
464;24.0
465;
466;
467;
468;
469;18.0
470;
471;31.0
472;
473;25.0
474;
475;34.0
